Number,Artist,Firsts,Seconds,Thirds,Points,Podiums,Mean
201,Sublime,0,0,1,1,1,1.00
202,Daniel Powter,0,0,1,1,1,1.00
203,The Offspring,0,0,1,1,1,1.00
204,The Strumbellas,0,0,1,1,1,1.00
205,Sound Convoy,0,0,1,1,1,1.00
206,Underworld,0,0,1,1,1,1.00
207,Outasight,0,0,1,1,1,1.00
208,The Interrupters,0,0,1,1,1,1.00
209,Michael Bublé,0,0,1,1,1,1.00
210,will.i.am,0,0,1,1,1,1.00
211,The Company,0,0,1,1,1,1.00
212,Diddy - Dirty Money,0,0,1,1,1,1.00
213,Enya,0,0,1,1,1,1.00
214,Emilíana Torrini,0,0,1,1,1,1.00
215,"Baddiel, Skinner & The Lightning Seeds",0,0,1,1,1,1.00
216,Eminem,0,0,1,1,1,1.00
217,Katzenjammer,0,0,1,1,1,1.00
218,Daveed Diggs,0,0,1,1,1,1.00
219,The Animals,0,0,1,1,1,1.00
220,The Partridge Family,0,0,1,1,1,1.00
221,Georg Friedrich Händel,0,0,1,1,1,1.00
222,Billy Bragg,0,0,1,1,1,1.00
223,John Mellencamp,0,0,1,1,1,1.00
224,Blondie,0,0,1,1,1,1.00
225,Paul McCartney,0,0,1,1,1,1.00
226,Chris Stapleton,0,0,1,1,1,1.00
227,Alan Jackson,0,0,1,1,1,1.00
228,Carolina Gaitán - La Gaita,0,0,1,1,1,1.00
229,Tom Petty and The Heartbreakers,0,0,1,1,1,1.00
230,Tom Petty,0,0,1,1,1,1.00
231,Morten Abel,0,0,1,1,1,1.00
232,Harold Faltermeyer,0,0,1,1,1,1.00
